titre,entreprise,secteur,localisation,competences,experience,contrat,description,source,text_for_matching,text_clean,cluster_dbscan
Ingénieur Électricité / ingén fluide / modeleur proj,GETB INGENIERIE,Construction / Btp,Casablanca,Francais,"en etudes cfo/cfa maitrise de caneco, dialux, autocad dimensionnement tgbt, eclairage, courants faibles redaction cctp, dpgf, notes de calcul ingenieur fluides / thermique diplome dingenieur detat en genie climatique / energetique etudes cvc, plomberie, desenfumage, protection incendie maitrise de pleiades, cfd, autocad bilans thermiques et calculs de deperditions connaissance rtcm et normes marocaines modeleur-projeteur cad/revit - diplome en genie civil, electricite ou fluides maitrise imperative de revit (mep / archi / struct) bonne pratique dautocad 2d/3d production de plans dexecution et syntheses bim rigueur, autonomie, esprit dequipe",CDI,"(commun aux trois postes) diplome en adequation avec le poste vise (ingenieur detat pour les postes dingenieur). experience de 2 ans minimum sur des projets batiment tce (debutants motives etudies pour le poste de projeteur). bonne maitrise du francais, a lecrit comme a loral. sens de lorganisation, esprit danalyse et capacite a travailler en mode projet. disponibilite, rigueur technique et aptitude au travail en equipe pluridisciplinaire - candidature merci dadresser votre cv accompagne dune lettre de motivation, en precisant clairement le poste vise dans lobjet du message via ce site.",marocannonces,"Ingénieur Électricité / ingén fluide / modeleur proj Francais Construction / Btp (commun aux trois postes) diplome en adequation avec le poste vise (ingenieur detat pour les postes dingenieur). experience de 2 ans minimum sur des projets batiment tce (debutants motives etudies pour le poste de projeteur). bonne maitrise du francais, a lecrit comme a loral. sens de lorganisation, esprit danalyse et capacite a travailler en mode projet. disponibilite, rigueur technique et aptitude au travail en equipe pluridisciplinaire - candidature merci dadresser votre cv accompagne dune lettre de motivation, en precisant clairement le poste vise dans lobjet du message via ce site.",ingenieur electricite ingen fluide modeleur proj francai construction btp commun poste diplome adequation poste vise ingenieur detat poste dingenieur experience minimum projet batiment tce debutant motive etudie poste projeteur bon maitrise francai lecrit loral sens lorganisation esprit danalyse capacite travailler mode projet disponibilite rigueur technique aptitude travail equipe pluridisciplinaire candidature dadresser accompagner dun lettre motivation precisant clairement poste viser lobjet message site,-1
Mécanicien poids lourd,Confidentiel,Transport / Achat / Logistique,Tanger,"Mecanique, Systemes mecaniques, Pneumatiques","en mecanique poids lourd (obligatoire) - connaissances en systemes mecaniques, electriques et pneumatiques - autonomie, rigueur et sens des responsabilites",CDI,"- experience en mecanique poids lourd (obligatoire) - connaissances en systemes mecaniques, electriques et pneumatiques - autonomie, rigueur et sens des responsabilites",marocannonces,"Mécanicien poids lourd Mecanique, Systemes mecaniques, Pneumatiques Transport / Achat / Logistique - experience en mecanique poids lourd (obligatoire) - connaissances en systemes mecaniques, electriques et pneumatiques - autonomie, rigueur et sens des responsabilites",mecanicien poids lourd mecaniqu systeme mecanique pneumatique transport achat logistique experience mecaniqu poids lourd obligatoire connaissance systeme mecanique electrique pneumatique autonomie rigueur sens responsabilite,-1
Vendeur / vendeuse,SOCIÉTÉ,Commercial / Vente,Casablanca,,"souhaitee (un plus) esprit dequipe poste base a casablanca ( maarif , bd al quds ,morocco mall , oulfa )",A discuter,"serieux(se), organise(e) et dynamique bon sens relationnel (surtout pour le poste de vendeur(se)) experience souhaitee (un plus) esprit dequipe poste base a casablanca ( maarif , bd al quds ,morocco mall , oulfa )",marocannonces,"Vendeur / vendeuse Commercial / Vente serieux(se), organise(e) et dynamique bon sens relationnel (surtout pour le poste de vendeur(se)) experience souhaitee (un plus) esprit dequipe poste base a casablanca ( maarif , bd al quds ,morocco mall , oulfa )",vendeur vendeus commercial vente serieux organiser dynamique bon sens relationnel poste vendeur experience souhaitee esprit dequipe poste base casablanca maarif quds morocco mall oulfa,-1
Operateur de traitement des donnees a,MARECORDS,Services aux Entreprises / Formation,Casablanca,,dans le meme,CDD,,marocannonces,Operateur de traitement des donnees a Services aux Entreprises / Formation,operateur traitement donnee service entreprise formation,3
Commercial(e) en ameublement /,TANKIT,Commercial / Vente,Tanger,"Commerce, Vente","en vente, idealement en ameublement ou decoration excellent sens du service et relationnel gout pour le design et lamenagement interieur dynamisme, persuasion et esprit commercial - nous offrons : un cadre de travail motivant une remuneration attractive avec com",CDI,"bac+2/3 en commerce ou equivalent experience en vente, idealement en ameublement ou decoration excellent sens du service et relationnel gout pour le design et lamenagement interieur dynamisme, persuasion et esprit commercial - nous offrons : un cadre de travail motivant une remuneration attractive avec com",marocannonces,"Commercial(e) en ameublement / Commerce, Vente Commercial / Vente bac+2/3 en commerce ou equivalent experience en vente, idealement en ameublement ou decoration excellent sens du service et relationnel gout pour le design et lamenagement interieur dynamisme, persuasion et esprit commercial - nous offrons : un cadre de travail motivant une remuneration attractive avec com",commercial ameublement commerce vent commercial vente bac commerce equivalent experience vente idealement ameublement decoration excellent sens service relationnel gout design lamenagement interieur dynamisme persuasion esprit commercial offrir cadre travail motiver remuneration attractif com,-1
Contrôleur(se) de caméras / vidéosurveillance,Entreprise (franchise de coffee shop),Sécurité / Surveillance / Gardiennage,Casablanca,"Securite, Telesurveillance, Videosurveillance","en surveillance, securite ou telesurveillance - excellente capacite dattention et danalyse - maitrise des outils de videosurveillance - discretion, rigueur et respect des procedures internes lieu : casablanca interesse(e) ? postulez des maintenant en envoyant votre cv via ce site",,"experience en surveillance, securite ou telesurveillance - excellente capacite dattention et danalyse - maitrise des outils de videosurveillance - discretion, rigueur et respect des procedures internes lieu : casablanca interesse(e) ? postulez des maintenant en envoyant votre cv via ce site",marocannonces,"Contrôleur(se) de caméras / vidéosurveillance Securite, Telesurveillance, Videosurveillance Sécurité / Surveillance / Gardiennage experience en surveillance, securite ou telesurveillance - excellente capacite dattention et danalyse - maitrise des outils de videosurveillance - discretion, rigueur et respect des procedures internes lieu : casablanca interesse(e) ? postulez des maintenant en envoyant votre cv via ce site",controleur camera videosurveillance securite telesurveillance videosurveillance securite surveillance gardiennage experience surveillance securit telesurveillance excellent capacite dattention danalyse maitrise outil videosurveillance discretion rigueur respect procedure interne lieu casablanca interesse postuler envoyer site,-1
Chargé (e) de compte commercial,SARL,Transport / Achat / Logistique,Casablanca,"Commerce, Logistique, Transport, Negociation",minimum de 3 ans en commercial b2b (transport/logistique est un plus) excellentes capacites de communication et de negociation sens du resultat et orientation performance esprit analytique et capacite dadaptation autonomie et proactivite - ce que nous offrons environnement dynamique et en forte croissance opportunites devolution rapide remuneration attractive (fixe + variable),CDI,"bac+3 a bac+5 (commerce, logistique ou equivalent) experience minimum de 3 ans en commercial b2b (transport/logistique est un plus) excellentes capacites de communication et de negociation sens du resultat et orientation performance esprit analytique et capacite dadaptation autonomie et proactivite - ce que nous offrons environnement dynamique et en forte croissance opportunites devolution rapide remuneration attractive (fixe + variable)",marocannonces,"Chargé (e) de compte commercial Commerce, Logistique, Transport, Negociation Transport / Achat / Logistique bac+3 a bac+5 (commerce, logistique ou equivalent) experience minimum de 3 ans en commercial b2b (transport/logistique est un plus) excellentes capacites de communication et de negociation sens du resultat et orientation performance esprit analytique et capacite dadaptation autonomie et proactivite - ce que nous offrons environnement dynamique et en forte croissance opportunites devolution rapide remuneration attractive (fixe + variable)",charge compte commercial commerce logistique transport negociation transport achat logistique bac bac commerce logistique equivalent experience minimum commercial transport logistique excellente capacite communication negociation sen resultat orientation performance esprit analytique capacite dadaptation autonomie proactivite offrir environnement dynamique fort croissance opportunite devolution rapide remuneration attractif fixe variable,-1
Assistant(e) rh / chargé(e) de recrutement,TANKIT,Ressources Humaines / Recrutement / Intérim,Tanger,,"en recrutement souhaitee - excellentes capacites de communication et decoute - sens de lorganisation et gestion des priorites - dynamisme, reactivite et esprit dequipe nous offrons : - un environnement de travail professionnel et dynamique - une experience enrichissante dans les ressources humaines - des perspectives devolution poste base a : tanger - disponibilite : immediate",CDI,"- bac+2/3 en ressources humaines ou equivalent - premiere experience en recrutement souhaitee - excellentes capacites de communication et decoute - sens de lorganisation et gestion des priorites - dynamisme, reactivite et esprit dequipe nous offrons : - un environnement de travail professionnel et dynamique - une experience enrichissante dans les ressources humaines - des perspectives devolution poste base a : tanger - disponibilite : immediate",marocannonces,"Assistant(e) rh / chargé(e) de recrutement Ressources Humaines / Recrutement / Intérim - bac+2/3 en ressources humaines ou equivalent - premiere experience en recrutement souhaitee - excellentes capacites de communication et decoute - sens de lorganisation et gestion des priorites - dynamisme, reactivite et esprit dequipe nous offrons : - un environnement de travail professionnel et dynamique - une experience enrichissante dans les ressources humaines - des perspectives devolution poste base a : tanger - disponibilite : immediate",assister charge recrutemer ressource humain recrutemer interim bac ressource humain equivalent experience recrutement souhaitee excellent capacite communication decoute sens lorganisation gestion priorite dynamisme reactivite esprit dequip offrir environnement travail professionnel dynamique experience enrichissant ressource humain perspective devolution post base tanger disponibilit immediat,4
Administrateur des ventes,SAFE JOB,Industrie / Ingénierie / Energie,Casablanca,Vente,,Interim,de notre client base a sidi maarouf casablanca des adv administrateurs de vente. merci de nous envoyer votre cv pour une selection.,marocannonces,Administrateur des ventes Vente Industrie / Ingénierie / Energie de notre client base a sidi maarouf casablanca des adv administrateurs de vente. merci de nous envoyer votre cv pour une selection.,administrateur vente vent industrie ingenierie energie client base sidi maarouf casablanca adv administrateur vent envoyer selection,4
Responsable marketing & développement commercial,Cabo azul,Marketing / Communication / Publicité / Rp,Casablanca,,en marketing immobilier ou generation de leads bonne maitrise du digital marketing et des outils dacquisition esprit oriente resultats et ventes excellent relationnel et capacite a developper un reseau de partenaires,A discuter,experience en marketing immobilier ou generation de leads bonne maitrise du digital marketing et des outils dacquisition esprit oriente resultats et ventes excellent relationnel et capacite a developper un reseau de partenaires,marocannonces,Responsable marketing & développement commercial Marketing / Communication / Publicité / Rp experience en marketing immobilier ou generation de leads bonne maitrise du digital marketing et des outils dacquisition esprit oriente resultats et ventes excellent relationnel et capacite a developper un reseau de partenaires,responsable marketing developpement commercial marketing communication publicite experience marketing immobilier generation lead bon maitrise digital marketing outil dacquisition esprit orient resultat vente excellent relationnel capacite developper reseau partenaire,10
Un agent de tracking / shift nuit /,transport logistique,Transport / Achat / Logistique,Tanger,,,A discuter,,marocannonces,Un agent de tracking / shift nuit / Transport / Achat / Logistique,agent tracking shift nuit transport achat logistique,9
Commercial industriel,SMARTIMA AUTOMATION,Commercial / Vente,Casablanca,"Vente, Negociation","confirmee en vente b2b idealement dans le secteur industriel bonne connaissance du materiel electrique, pneumatique, hydraulique ou automatisme excellent relationnel et sens de la negociation dynamique, autonome et oriente resultats permis de conduire souhaite nous offrons",A discuter,"experience confirmee en vente b2b idealement dans le secteur industriel bonne connaissance du materiel electrique, pneumatique, hydraulique ou automatisme excellent relationnel et sens de la negociation dynamique, autonome et oriente resultats permis de conduire souhaite nous offrons",marocannonces,"Commercial industriel Vente, Negociation Commercial / Vente experience confirmee en vente b2b idealement dans le secteur industriel bonne connaissance du materiel electrique, pneumatique, hydraulique ou automatisme excellent relationnel et sens de la negociation dynamique, autonome et oriente resultats permis de conduire souhaite nous offrons",commercial industriel vent negociation commercial vent experience confirme vente idealement secteur industriel bon connaissance materiel electriqu pneumatique hydraulique automatisme excellent relationnel sens negociation dynamique autonome orient resultat permettre conduire souhaiter offrir,5
Développeuse web,,Informatique / Multimédia / Internet,Casablanca,,apres la,A discuter,,marocannonces,Développeuse web Informatique / Multimédia / Internet,developpeuse web informatique multimedia internet,6
Kinésithérapeutes aéroport & marrakech,Centre de bien être,Santé / Médical,Casablanca,Francais,,Anapec,"diplome en kinesitherapie * bon niveau en francais et en anglais * sens du service, serieux et presentation soignee conditions :",marocannonces,"Kinésithérapeutes aéroport & marrakech Francais Santé / Médical diplome en kinesitherapie * bon niveau en francais et en anglais * sens du service, serieux et presentation soignee conditions :",kinesitherapeute aeroport marrakech francai sante medical diplome kinesitherapie bon niveau francai anglais sen service serieux presentation soigne condition,-1
Charge (e) marketing digital,,Marketing / Communication / Publicité / Rp,Casablanca,"Francais, Commerce",dans un poste similaire et un esprit creatif.,A discuter,"requises : - bonne maitrise du marketing digital ; - gestion de reseaux sociaux : bonne maitrise de google ads/ bonne maitrise de meta pour lancement des campagnes publicitaires. - aisance redactionnelle ; - gestion de site web e-commerce (wordpress) , - referencement seo...; - bonne maitrise des outils bureautiques, caneva... ; - bonne elocution en francais ; profil : bac+5 dans une ecole de commerce avec une specialite marketing et 3 ans d'experience en tant que responsable marketing digital. si vous vous retrouvez dans ce profil, ecrivez nous vite.",marocannonces,"Charge (e) marketing digital Francais, Commerce Marketing / Communication / Publicité / Rp requises : - bonne maitrise du marketing digital ; - gestion de reseaux sociaux : bonne maitrise de google ads/ bonne maitrise de meta pour lancement des campagnes publicitaires. - aisance redactionnelle ; - gestion de site web e-commerce (wordpress) , - referencement seo...; - bonne maitrise des outils bureautiques, caneva... ; - bonne elocution en francais ; profil : bac+5 dans une ecole de commerce avec une specialite marketing et 3 ans d'experience en tant que responsable marketing digital. si vous vous retrouvez dans ce profil, ecrivez nous vite.",charge marketing digital francai commerce marketing communication publicite requis bon maitrise marketing digital gestion reseau social bon maitrise google ads bon maitrise meta lancement campagne publicitaire aisance redactionnell gestion site web commerce wordpress referencemer seo bon maitrise outil bureautique caneva bon elocution francai profil bac ecole commerce specialite marketing experience responsable marketing digital retrouver profil ecriver vite,10
Technicien cfo/cfa,INVITECH SOLUTIONS,Informatique / Multimédia / Internet,Agadir,"Securite, Videosurveillance",2-5 ans d'experience minimum,CDI,"cles : autonomie, rigueur, bonnes relations clients. capacite a lire des plans, maitrise des outils de mesure. connaissances des technologies evolutives. securite : systemes d'alarme (intrusion, incendie), videosurveillance, controle d'acces (lecteurs de badges, motorisations). communication : telephonie, reseaux informatiques (vdi), interphonie, domotique.",marocannonces,"Technicien cfo/cfa Securite, Videosurveillance Informatique / Multimédia / Internet cles : autonomie, rigueur, bonnes relations clients. capacite a lire des plans, maitrise des outils de mesure. connaissances des technologies evolutives. securite : systemes d'alarme (intrusion, incendie), videosurveillance, controle d'acces (lecteurs de badges, motorisations). communication : telephonie, reseaux informatiques (vdi), interphonie, domotique.",technicien cfo cfa securite videosurveillance informatique multimedia internet cle autonomie rigueur bon relation client capacite lire plan maitrise outil mesure connaissance technologie evolutive securit systeme alarme intrusion incendie videosurveillance controle acce lecteur badge motorisation communication telephonie reseal informatique vdi interphonie domotiqu,31
Comptable expérimentée,GEO4NET,Informatique / Multimédia / Internet,Casablanca,,"minimum de 3 ans, idealement en cabinet dexpertise comptable ou en",A discuter,"formation bac+3 ou bac+5 en comptabilite ou equivalent experience minimum de 3 ans, idealement en cabinet dexpertise comptable ou en",marocannonces,"Comptable expérimentée Informatique / Multimédia / Internet formation bac+3 ou bac+5 en comptabilite ou equivalent experience minimum de 3 ans, idealement en cabinet dexpertise comptable ou en",comptable experimentee informatique multimedia internet formation bac bac comptabilite equivalent experience minimum idealement cabinet dexpertise comptable,6
Responsable des ressources humaines (h/f),Confidentiel,Comptabilité / Gestion / Audit,Kénitra,,"requise : minimum 5 ans - secteur : agro-alimentaire - disponibilite : poste a pourvoir rapidement dans le cadre dun renforcement de ses equipes, une",CDI,"requise : minimum 5 ans - secteur : agro-alimentaire - disponibilite : poste a pourvoir rapidement dans le cadre dun renforcement de ses equipes, une",marocannonces,"Responsable des ressources humaines (h/f) Comptabilité / Gestion / Audit requise : minimum 5 ans - secteur : agro-alimentaire - disponibilite : poste a pourvoir rapidement dans le cadre dun renforcement de ses equipes, une",responsable ressource humain heure comptabilit gestion audit requérir minimum secteur agro alimentaire disponibilite post pourvoir rapidement cadre dun renforcement equipe,-1
Technico commercial(e) h/f / magasinier industriel,Confidentiel,Industrie / Ingénierie / Energie,Casablanca,,"en pose de menuiserie industrielle ( portes, placardes) -excellent relationnel, rigueur technique et sens de l'organisation, bonne communication et prise de contact, redaction des pv -permis b requis ( deplacements frequents ) -bac+2 avec plus de 3 ans d'experiences magasinier industriel (homme)",A discuter,"-experience en pose de menuiserie industrielle ( portes, placardes) -excellent relationnel, rigueur technique et sens de l'organisation, bonne communication et prise de contact, redaction des pv -permis b requis ( deplacements frequents ) -bac+2 avec plus de 3 ans d'experiences magasinier industriel (homme)",marocannonces,"Technico commercial(e) h/f / magasinier industriel Industrie / Ingénierie / Energie -experience en pose de menuiserie industrielle ( portes, placardes) -excellent relationnel, rigueur technique et sens de l'organisation, bonne communication et prise de contact, redaction des pv -permis b requis ( deplacements frequents ) -bac+2 avec plus de 3 ans d'experiences magasinier industriel (homme)",technico commercial heure magasinier industriel industrie ingenierie energie experience pose menuiserie industriel porte placarde excellent relationnel rigueur technique sens organisation bon communication prise contact redaction permettre requérir deplacement frequent bac experience magasinier industriel homm,-1
Assistante administatif & comptable,entreprise,Comptabilité / Gestion / Audit,Casablanca,,,,,marocannonces,Assistante administatif & comptable Comptabilité / Gestion / Audit,assistant administatif comptable comptabilite gestion audit,7
Comptable expérimenté,Fiduciaire Internationale,Comptabilité / Gestion / Audit,Casablanca,,"minimum 2 ans dexperience reussie en comptabilite, idealement au sein dun cabinet dexpertise comptable.",A discuter,"maitrise des normes comptables et fiscales locales et internationales. qualites personnelles : rigueur, sens de lorganisation et esprit analytique. autonomie et capacite a travailler efficacement en equipe. excellentes",marocannonces,"Comptable expérimenté Comptabilité / Gestion / Audit maitrise des normes comptables et fiscales locales et internationales. qualites personnelles : rigueur, sens de lorganisation et esprit analytique. autonomie et capacite a travailler efficacement en equipe. excellentes",comptable experiment comptabilite gestion audit maitrise norme comptable fiscale local international qualite personnelle rigueur sens lorganisation esprit analytique autonomie capacite travailler efficacement equipe excellente,-1
Assistante achat,equipement industrielle,Industrie / Ingénierie / Energie,Casablanca,Francais,,CDD,la communication ecrite et parlante en francais et si vous avez l'esprit d'equipe veuillez nous envoyer votre cv,marocannonces,Assistante achat Francais Industrie / Ingénierie / Energie la communication ecrite et parlante en francais et si vous avez l'esprit d'equipe veuillez nous envoyer votre cv,assistant achat francai industrie ingenierie energie communication ecrit parlant francai esprit equipe vouloir envoyer,-1
Technicien de maintenance électricité,SOCIETE ANONYME,Maintenance / Entretien,Tout le Maroc,,"souhaitee dans un poste similaire rigueur, autonomie et esprit dequipe - lieu : tanger / rabat / casa",A discuter,"formation en electricite, maintenance industrielle ou genie climatique experience souhaitee dans un poste similaire rigueur, autonomie et esprit dequipe - lieu : tanger / rabat / casa",marocannonces,"Technicien de maintenance électricité Maintenance / Entretien formation en electricite, maintenance industrielle ou genie climatique experience souhaitee dans un poste similaire rigueur, autonomie et esprit dequipe - lieu : tanger / rabat / casa",technicien maintenance electricite maintenance entretien formation electricite maintenance industriel genie climatique experience souhaitee poste similaire rigueur autonomie esprit dequip lieu tanger rabat casa,-1
Commerciale bureau,AM PROD,Commercial / Vente,Casablanca,,"au moins 2 ans , les interesses envoient leurs cv , merci",CDI,"au moins 2 ans , les interesses envoient leurs cv , merci",marocannonces,"Commerciale bureau Commercial / Vente au moins 2 ans , les interesses envoient leurs cv , merci",commercial bureau commercial vente interesse envoyer,0
Technico commerciaux / et casablanca,Confidentiel,Industrie / Ingénierie / Energie,Mohammedia,,"reussie de 3 a 8 ans dans un poste similaire ou proche, en matiere de commercialisation soit dequipements, de consommables industrielles, de produits chimiques, ou projets techniques. ainsi, vos activites principales seront de : identifier de nouvelles opportunites commerciales dans les secteurs cibles. construire et developper un portefeuille clients durable via une prospection structuree et ciblee. organiser des visites clients regulieres afin de comprendre leurs besoins et proposer des solutions adaptees. assurer une presence terrain importante et developper une relation de proximite avec les clients. elaborer les offres commerciales et propositions techniques en collaboration avec lequipe avant-vente. assurer une veille concurrentielle active et proposer des actions damelioration des services. communiquer des reportings hebdomadaires sur les actions commerciales. package attractif",CDI,"reussie de 3 a 8 ans dans un poste similaire ou proche, en matiere de commercialisation soit dequipements, de consommables industrielles, de produits chimiques, ou projets techniques. ainsi, vos activites principales seront de : identifier de nouvelles opportunites commerciales dans les secteurs cibles. construire et developper un portefeuille clients durable via une prospection structuree et ciblee. organiser des visites clients regulieres afin de comprendre leurs besoins et proposer des solutions adaptees. assurer une presence terrain importante et developper une relation de proximite avec les clients. elaborer les offres commerciales et propositions techniques en collaboration avec lequipe avant-vente. assurer une veille concurrentielle active et proposer des actions damelioration des services. communiquer des reportings hebdomadaires sur les actions commerciales. package attractif",marocannonces,"Technico commerciaux / et casablanca Industrie / Ingénierie / Energie reussie de 3 a 8 ans dans un poste similaire ou proche, en matiere de commercialisation soit dequipements, de consommables industrielles, de produits chimiques, ou projets techniques. ainsi, vos activites principales seront de : identifier de nouvelles opportunites commerciales dans les secteurs cibles. construire et developper un portefeuille clients durable via une prospection structuree et ciblee. organiser des visites clients regulieres afin de comprendre leurs besoins et proposer des solutions adaptees. assurer une presence terrain importante et developper une relation de proximite avec les clients. elaborer les offres commerciales et propositions techniques en collaboration avec lequipe avant-vente. assurer une veille concurrentielle active et proposer des actions damelioration des services. communiquer des reportings hebdomadaires sur les actions commerciales. package attractif",technico commercial casablanca industrie ingenierie energie reussi poste similaire matiere commercialisation dequipement consommable industriel produit chimique projet technique principal identifier opportunite commercial secteur cible construire developper portefeuill client durable prospection structure cible organiser visite client reguliere comprendre besoin proposer solution adaptee assurer presence terrain important developper relation proximite client elaborer offre commercial proposition technique collaboration lequipe vente assurer veille concurrentiel actif proposer damelioration service communiquer reporting hebdomadaire commercial packag attractif,-1
Coursier administratif moto ain sebaa,xxxx,Autre,Casablanca,,,Interim,,marocannonces,Coursier administratif moto ain sebaa Autre,coursier administratif moto ain sebaa,2
Vendeuse expérimentée /,,Commercial / Vente,Casablanca,,"client unique. vous accueillez, conseillez et accompagnez la clientele dans ses achats, tout en veillant a la mise en valeur des produits et au maintien de limage raffinee du magasin.",Interim,"excellent sens du relationnel et du service client. presentation soignee et attitude professionnelle. esprit dequipe, dynamisme et polyvalence",marocannonces,"Vendeuse expérimentée / Commercial / Vente excellent sens du relationnel et du service client. presentation soignee et attitude professionnelle. esprit dequipe, dynamisme et polyvalence",vendeus experimentee commercial vente excellent sens relationnel service client presentation soigne attitude professionnel esprit dequip dynamism polyvalenc,-1
Comptable pour un cabinet fiduciaire /,Pj,Comptabilité / Gestion / Audit,Casablanca,,"souhaitee, notamment dans letablissement du bilan.",CDI,,marocannonces,Comptable pour un cabinet fiduciaire / Comptabilité / Gestion / Audit,comptable cabinet fiduciaire comptabilite gestion audit,7
Assistante rh en intérim,PJ,Accueil / Secrétariat / Administration,Casablanca,,"en administration du personnel. - autonome, organise(e) et capable de gerer les priorites dans un environnement dynamique. - bonnes",Interim,gerer les priorites dans un environnement dynamique. - bonnes,marocannonces,Assistante rh en intérim Accueil / Secrétariat / Administration gerer les priorites dans un environnement dynamique. - bonnes,assistant interim accueil secretariat administration gerer priorite environnement dynamique bon,8
