titre,entreprise,secteur,localisation,competences,experience,contrat,text_clean
assistante commerciale hispanophone,industriel,Accueil / Secrétariat / Administration,Tanger,-experience confirmee dans la gestion du back office et les operations commerciales. -excellente communication ecrite et orale. -maitrise parfaite du francais et de lespagnol. - poste base a: tanger,confirmee dans la gestion du back office et les operations commerciales. -excellente communication ecrite et orale. -maitrise parfaite du francais et de lespagnol. - poste base a: tanger,CDI,assistant commercial hispanophone experience confirme gestion back office operation commercial excellent communication ecrit oral maitrise parfait francai lespagnol post base tanger accueil secrétariat administration
Assistante achat,equipement industrielle,Industrie / Ingénierie / Energie,Casablanca,,,CDD,assistant achat industrie ingénieri energie
Technicien de maintenance électricité,SOCIETE ANONYME,Maintenance / Entretien,Tout le Maroc,"formation en electricite, maintenance industrielle ou genie climatique experience souhaitee dans un poste similaire rigueur, autonomie et esprit dequipe - lieu : tanger / rabat / casa","souhaitee dans un poste similaire rigueur, autonomie et esprit dequipe - lieu : tanger / rabat / casa",A discuter,technicien maintenance électricité formation electricite maintenance industriel genie climatique experience souhaitee poste similaire rigueur autonomie esprit dequip lieu tanger rabat casa maintenance entretien
Commerciale bureau,AM PROD,Commercial / Vente,Casablanca,,"au moins 2 ans , les interesses envoient leurs cv , merci",CDI,commercial bureau commercial vent
Technico commerciaux / et casablanca,Confidentiel,Industrie / Ingénierie / Energie,Mohammedia,,"reussie de 3 a 8 ans dans un poste similaire ou proche, en matiere de commercialisation soit dequipements, de consommables industrielles, de produits chimiques, ou projets techniques. ainsi, vos activites principales seront de : identifier de nouvelles opportunites commerciales dans les secteurs cibles. construire et developper un portefeuille clients durable via une prospection structuree et ciblee. organiser des visites clients regulieres afin de comprendre leurs besoins et proposer des solutions adaptees. assurer une presence terrain importante et developper une relation de proximite avec les clients. elaborer les offres commerciales et propositions techniques en collaboration avec lequipe avant-vente. assurer une veille concurrentielle active et proposer des actions damelioration des services. communiquer des reportings hebdomadaires sur les actions commerciales. package attractif",CDI,technico commercial casablanca industrie ingénierie energie
Infirmière préleveuse laboratoire d'analyses médic,IMMCELL,Santé / Médical,Rabat,,"confirmee des prelevements adultes, enfants et nouveaux nes ainsi que des enregistrements de dossiers de patients de preference sur le logiciel kalisil. la candidate doit avoir une excellente capacite relationnelle, une presentation impeccable et maitriser la langue francaise. poste cdi apres periode d'essai.",A discuter,infirmier préleveus laboratoir analyse médic santé médical
Ingénieur chargé des appels d’offres & développement,confidentiel,Maintenance / Entretien,Rabat,- ingenieur en genie electrique. - maitrise du metier de la maintenance multi-technique - minimum 2 ans dexperience dans le,dans le,A discuter,ingénieur charger appel offre développemer ingenieur genie electriqu maitrise metier maintenance multi technique minimum dexperience maintenance entretien
Coordinateur / coordinatrice marketing senior / junior,BEST PROFIL,Tourisme / Hôtellerie / Restauration,Agadir,"requises : maitrise des outils de gestion de projet (ex : trello, asana). connaissance des strategies de marketing digital (seo, reseaux sociaux, etc.). excellentes",,Interim,coordinateur coordinateur marketing senior junior requérir maitrise outil gestion projet trello asana connaissance strategie marketing digital reseau social excellente tourisme hôtellerie restauration
Assistante de direction dg,Confidentiel,Accueil / Secrétariat / Administration,Rabat,,a partir de 3 ans dans le,CDI,assistant direction accueil secrétariat administration
Support it,distra,Informatique / Multimédia / Internet,Deroua,"-bac +3 / bac +5 en informatique, reseaux ou systemes. -minimum 2 ans dexperience dans un poste similaire.",dans un poste similaire.,A discuter,support informatique reseau systeme minimum dexperience poste similaire informatique multimédia internet
Commercial pro b2b,,Commercial / Vente,Casablanca,,,A discuter,commercial commercial vente
Hotesse de caisse,Confidentiel,Grande Distribution,Casablanca,"formation en commerce, gestion ou equivalent. premiere experience en caisse ou en relation client souhaitee. sens du service, rigueur et bonne presentation. aisance relationnelle et capacite a travailler en equipe.","en caisse ou en relation client souhaitee. sens du service, rigueur et bonne presentation. aisance relationnelle et capacite a travailler en equipe.",A discuter,hotesse caisse formation commerce gestion equivalent premier experience caisse relation client souhaitee service rigueur presentation aisance relationnel capacite travailler equipe grand distribution
Assistante import,confidentiel,Entreprise / Import / Export,Casablanca,diplome : bac+4 en commerce international - experience : minimum 2 ans dans le,minimum 2 ans dans le,A discuter,assistant import diplome commerce international experience minimum entreprise import export
Commis/coursier en douane,TRANSPORTEC,Entreprise / Import / Export,Casablanca,- experience confirmee dans le,confirmee dans le,CDI,commettre coursier douane experience confirme entreprise import export
Conseiller(e) vendeur(se) magasin,Confidentiel,Grande Distribution,Casablanca,bac+2 avec une,"souhaitee dans la vente de produits electriques ou techniques. bon sens du service client et aisance relationnelle. dynamisme, rigueur et esprit dequipe.",A discuter,conseiller vendeur magasin grand distribution
Chargée des opérations,Z-Evolution,Santé / Médical,Rabat,,s de moins d'un an sur la,Anapec,charger opération santé médical
Conducteurs (ec),solano-emploi,Autre,Casablanca,,,Interim,conducteur
Comptable junior à,AVANTA MAROC,Comptabilité / Gestion / Audit,Rabat,,un stage souhaite,Interim,comptable junior comptabilité gestion audit
Opérateur automobile,xxxx,Automobile,Kénitra,,,Interim,opérateur automobile automobile
Chargé des méthodes,confidentiel,Maintenance / Entretien,Rabat,"-bac +2 / bac +3 / bac +5 en maintenance industrielle, electrotechnique, electromecanique, genie industriel ou methodes -minimum 5 ans dexperience dans un poste similaire, idealement en maintenance multitechnique ou facility management -bonne maitrise des processus de maintenance preventive et corrective -maitrise dune gmao (planification, suivi des interventions) -capacite danalyse des indicateurs de performance -connaissances de base en electromecanique, electricite batiment, plomberie, climatisation - poste base a rabat","dans un poste similaire, idealement en maintenance multitechnique ou facility management -bonne maitrise des processus de maintenance preventive et corrective -maitrise dune gmao (planification, suivi des interventions) -capacite danalyse des indicateurs de performance -connaissances de base en electromecanique, electricite batiment, plomberie, climatisation - poste base a rabat",A discuter,charger méthode maintenance industriel electrotechniqu electromecaniqu genie industriel methode minimum dexperience poste similaire idealement maintenance multitechniqu facility management maitrise processus maintenance preventiv correctif maitrise dune gmao planification suivre intervention capacit danalyse indicateur performance connaissance base electromecaniqu electricite batiment plomberie climatisation post base rabattre maintenance entretien
Chef projet marketing,TAGANA,Marketing / Communication / Publicité / Rp,Marrakech,formation: master en marketing experience: 2 a 5 ans la maitrise du francais est obligatoire,2 a 5 ans la maitrise du francais est obligatoire,CDI,chef projet marketing formation master marketing experience maitrise francai obligatoire marketing communication publicité
Assistante rh aïn sebaâ ( ),HOTIN,Ressources Humaines / Recrutement / Intérim,Casablanca,,"confirmee en gestion de la paie, idealement en environnement interim notions en recrutement maitrise des outils informatiques (excel, logiciels de paie) rigueur, organisation et sens de la confidentialite localisation : ain sebaa casablanca merci de nous faire parvenir vos candidatures.",A discuter,assistant sebaâ ressource humain recrutement intérim
Agent de guichet femme,Bureau de change,Banque / Finance / Assurance,Casablanca,"-femme, presentation soignee et excellent sens du relationnel - niveau bac +2 minimum (commerce, gestion ou equivalent) - experience en caisse fortement souhaitee - serieuse, rigoureuse et a laise avec les chiffres - bonne gestion du stress et sens du service client - bonne maitrise de la langue francaise merci denvoyer votre cv avec photo","en caisse fortement souhaitee - serieuse, rigoureuse et a laise avec les chiffres - bonne gestion du stress et sens du service client - bonne maitrise de la langue francaise merci denvoyer votre cv avec photo",CDI,agent guichet femme femm presentation soigne excellent sens relationnel niveau minimum commerce gestion equivalent experience caisse fortement souhaitee serieus rigoureux laise chiffre gestion stress sens service client maitrise langue francais denvoyer photo banqu finance assuranc
Jardinier / gardien,anonyme,Sécurité / Surveillance / Gardiennage,Mohammedia,"experience en jardinage souhaitee serieux, ponctuel et responsable autonomie et sens de lorganisation bonne condition physique sens du service et vigilance - conditions : lieu de travail : mohammedia type de","en jardinage souhaitee serieux, ponctuel et responsable autonomie et sens de lorganisation bonne condition physique sens du service et vigilance - conditions : lieu de travail : mohammedia type de",A discuter,jardinier gardien experience jardinage souhaitee serieux ponctuel responsable autonomie sens lorganisation condition physique sens service vigilance condition lieu travail mohammedia sécurité surveillanc gardiennag
Chef d'atelier,casablanca,Industrie / Ingénierie / Energie,Casablanca,"bac+2 (bts, dut ou equivalent) - experience de 3ans en production industrielle - capacite a gerer une equipe - sens de lorganisation et reactivite lieu du poste : en presentiel",de 3ans en production industrielle - capacite a gerer une equipe - sens de lorganisation et reactivite lieu du poste : en presentiel,A discuter,chef atelier devoir equivalent experience production industriel capacite gerer equipe sens lorganisation reactivite lieu poste presentiel industrie ingénieri energie
Technicien comptable (h/f),Particulier,Comptabilité / Gestion / Audit,Settat,,"significative dans la comptabilite, de preference acquise au sein d'une societe fiduciaire. une bonne maitrise des outils comptables et des normes fiscales est indispensable poste base a settat",A discuter,technicien comptable heure comptabilité gestion audit
Frigoriste,Confidentiel,Maintenance / Entretien,Saidia,,5000 a 5500 dh,Interim,frigoriste maintenance entretien
Comptable expérimentée,SARL,Comptabilité / Gestion / Audit,Casablanca,"diplome en comptabilite, gestion ou finance. experience minimale de 8 ans dans un poste similaire. bonne maitrise des logiciels comptables (sage ou equivalent). maitrise des outils bureautiques (excel, word). rigueur, sens de lorganisation et esprit danalyse. bon relationnel et capacite a travailler en equipe. lieu : casablanca remuneration : selon profil","minimale de 8 ans dans un poste similaire. bonne maitrise des logiciels comptables (sage ou equivalent). maitrise des outils bureautiques (excel, word). rigueur, sens de lorganisation et esprit danalyse. bon relationnel et capacite a travailler en equipe. lieu : casablanca remuneration : selon profil",A discuter,comptable expérimenter diplome comptabilite gestion finance experience minimal poste similaire maitrise logiciel comptable sage equivalent maitrise outil bureautique excel word rigueur sens lorganisation esprit danalyse relationnel capacite travailler equipe lieu casablanca remuneration profil comptabiliter gestion audit
Responsable achats,GDH,Transport / Achat / Logistique,Casablanca,"bac + 3 ou plus en commerce, gestion ou logistique","dans un poste similaire, idealement dans le secteur de la restauration ou agroalimentaire. bonne connaissance des circuits dapprovisionnement et des produits lies a la restauration. maitrise des outils de gestion des stocks et des achats. sens de lorganisation, rigueur et capacite de negociation. reactivite et aptitude a gerer les priorites dans un environnement dynamique",CDI,responsable achat commerce gestion logistique transport achat logistique
Ingénieur agronome (production végétale),ANONYME,Agriculture / Environnement / Espaces Verts,Berrechid,,"est un plus) personne a lecoute, serieuse, disciplinee et capable de suivre les instructions motive pour apprendre et evoluer a laise sur terrain",A discuter,ingénieur agronom production végétal agriculture environnement espace vert
Comptable confirme,Confidentielle,Comptabilité / Gestion / Audit,Casablanca,- maitriser le pack office - maitriser les outils informatiques - connaissances des dispositions legales et reglementaires en vigueur dans le pays - connaissance en droit fiscal et droit des societes - avoir une parfaite m,minimum de 5 ans de preference dans le secteur industriel et ayant realise 3 saisons fiscales. vous aurez comme principales,CDI,comptable confirme maitriser pack offic maitriser outil informatique connaissance disposition legale reglementaire vigueur pays connaissance droit fiscal droit societe parfaite comptabilité gestion audit
Assistante administrative,TRANSITAIR,Entreprise / Import / Export,Tanger,"organisationnelles et de communication. - repondre aux appels telephoniques entrants de maniere professionnelle. - une bonne maitrise des langues ( fr , esp , angl ) - rerouter les appels vers les departements concernes. - prendre des messages precis et les transmettre aux destinataires appropries. - recevoir et enregistrer les factures fournisseurs. - assurer le suivi des depots des factures et s'assurer de leur traitement dans les delais. - collaborer avec le service financier pour resoudre les eventuels problemes lies aux factures -effectuer des taches administratives de base telles que la gestion du courrier et la consultation des fournisseurs. - maintenir un systeme de classement organise pour les documents administratifs.",averee en tant qu'assistante de direction ou dans un role similaire.excellentes,A discuter,assistant administratif organisationnel communication repondre appel telephonique entrant maniere professionnel maitrise langue angl rerouter appel departement concerne prendre message preci transmettre destinataire approprie recevoir enregistrer facture fournisseur assurer suivi depot facture assurer traitement delai collaborer service financier resoudre eventuel probleme facture effectuer tache administratif base gestion courrier consultation fournisseur maintenir systeme classement organis document administratif entreprise import export
Poste formaticien,,Informatique / Multimédia / Internet,Marrakech,,,CDI,poste formaticien informatique multimédia internet
Agent de facturation,SARL,Comptabilité / Gestion / Audit,Casablanca,,minimum. priere envoyer votre cv et photo via ce site marocannonces,CDI,agent facturation comptabilité gestion audit
Hse security specialist_industrial_sector_,AVANTA MAROC,Sécurité / Surveillance / Gardiennage,Kénitra,"- bac+3 minimum en ressources humaines, hse ou equivalent - minimum 7 ans dexperience dans un poste similaire, idealement en milieu industriel (automobile, metallurgie ou aeronautique) - bonne connaissance des procedures de securite et des normes hse - experience en gestion dequipes de securite - maitrise des systemes de surveillance et de controle dacces - capacite a gerer les situations durgence et a prendre des decisions rapides","dans un poste similaire. responsabilites : - assurer le controle dacces du site : gestion des entrees/sorties, verification des identites et gestion des visiteurs - surveiller et controler les flux de vehicules et appliquer les protocoles de securite - effectuer des rondes regulieres (batiments, parkings, points sensibles) afin de prevenir tout risque ou intrusion - assurer la surveillance via les systemes de securite (cameras, detecteurs, alarmes) - reagir rapidement aux alertes, incidents ou situations durgence (intrusion, incendie, urgence medicale) - veiller au respect des procedures de securite, des normes hse et des protocoles internes - encadrer et gerer les equipes de securite internes et externes - suivre les plannings, la presence, les heures supplementaires et les temps de repos des equipes",CDI,security specialist industrial sector minimum ressource humain equivalent minimum dexperience poste similaire idealement milieu industriel automobile metallurgie aeronautique connaissance procedure securite norme experience gestion dequipe securite maitrise systeme surveillance controle dacce capacite gerer situation durgence prendre decision rapide sécurité surveillanc gardiennag
Caissier pvt,,Tourisme / Hôtellerie / Restauration,Marrakech,,,,caissier tourisme hôtellerie restauration
Chauffeur transport du personnel (permis d),Linkup Value,Transport / Achat / Logistique,Casablanca,requises,"confirmee en transport de personnel ou conduite de poids lourds. - residence a casablanca ou peripherie obligatoire. - sens des responsabilites, discipline et bon relationnel. poste base a casablanca.",CDI,chauffeur transport personnel permettre requis transport achat logistique
Femmes de chambre,-,Tourisme / Hôtellerie / Restauration,Marrakech,,,A discuter,femme chambre tourism hôtellerie restauration
Magasinier pièces de rechange automobile,,automobile) - bonne connaissance des pieces de rechange automobile - maitrise de,Casablanca,"- experience en tant que magasinier (idealement dans le secteur automobile) - bonne connaissance des pieces de rechange automobile - maitrise des outils informatiques de gestion de stock - rigueur, organisation et sens des responsabilites - esprit dequipe et reactivite","en tant que magasinier (idealement dans le secteur automobile) - bonne connaissance des pieces de rechange automobile - maitrise des outils informatiques de gestion de stock - rigueur, organisation et sens des responsabilites - esprit dequipe et reactivite",,magasinier pièce rechange automobile experience magasinier idealement secteur automobile connaissance piece rechange automobile maitrise outil informatique gestion stock rigueur organisation sens responsabilite esprit dequip reactivite automobile connaissance piece rechange automobile maitrise
Enseignantes de français (primaire),Ecole CLAPAREDE,Education / Social / Petite Enfance,Casablanca,-experience exigee dans le,exigee dans le,A discuter,enseignant français primaire experience exigee education social petit enfance
Chauffeur camion assistante de direction,GOLD LERA,Autre,Temara,"-longue experience confirmee en conduite de camions . -permis poids lourd (toutes categories / tous risques) exige. -serieux, ponctuel et responsable. residant a temara. 2/ assistante de direction (femme)","confirmee en conduite de camions . -permis poids lourd (toutes categories / tous risques) exige. -serieux, ponctuel et responsable. residant a temara. 2/ assistante de direction (femme)",A discuter,chauffeur camion assistant direction long experience confirme conduite camion permettre poids lourd categorie risque exiger serieux ponctuel responsable resider temara assistant direction femme
Technicien polyvalent تقني متعدد المهام,,Maintenance / Entretien,Marrakech,,,A discuter,technicien polyvalent maintenance entretien
Conducteur de travaux menuiserie aluminium,---,Autre,Casablanca,"requises - connaissance menuiserie aluminium et facades. - lecture de plans. - methodes de pose. - encadrement equipes chantier. - coordination sous-traitants. - leadership, organisation, reactivite. - excel, autocad (lecture), ms project, erp.",de 3 a 10 ans,CDI,conducteur travail menuiserie aluminium requis connaissance menuiserie aluminium facade lecture plan methode pose encadrement equiper chantier coordination traitant leadership organisation reactivite excel autocad lecture project
Technicien plombier tata,Anonyme,Construction / Btp,Zagora,,"equivalente experience en chantier souhaitee serieux, autonomie et sens du travail en equipe budget : 5 000 dhs logement : sur place",Interim,technicien plombier tata construction
Daf,,Comptabilité / Gestion / Audit,Casablanca,"formation bac+5 en finance, comptabilite, gestion, audit ou droit des affaires, avec une experience confirmee de plus de 15 ans dans une",confirmee de plus de 15 ans dans une,CDI,formation finance comptabilit gestion audit droit affaire experience confirme comptabilité gestion audit
طنجة إعلان توظيف عامل/ة فالكابلاج,Confidentiel,Industrie / Ingénierie / Energie,Tanger,,,CDI,industrie ingénierie energie
Boulanger /,confidentiel,Grande Distribution,Marrakech,,mimimum de 3 ans,CDI,boulanger grand distribution
Offre d’emploi hôtellerie / restauration marra,Proman Maroc,Tourisme / Hôtellerie / Restauration,Marrakech,experience exigee en hotellerie/restauration ou poste similaire sens du service et bon relationnel presentation soignee et professionnalisme esprit dequipe et capacite dadaptation pour les postes en reception : maitrise du francais (langlais est un atout),exigee en hotellerie/restauration ou poste similaire sens du service et bon relationnel presentation soignee et professionnalisme esprit dequipe et capacite dadaptation pour les postes en reception : maitrise du francais (langlais est un atout),Interim,offrir emploi hôtellerie restauration marra experience exigee hotellerie restauration poste similaire sens service relationnel presentation soignee professionnalisme esprit dequip capacite dadaptation poste reception maitrise francai langlai atout tourisme hôtellerie restauration
Enseignants éducatrices et professeurs,école privée,Education / Social / Petite Enfance,Casablanca,,,A discuter,enseignant éducateur professeur education social petit enfance
Agent s.a.v,ABN SOFT,Comptabilité / Gestion / Audit,Casablanca,,"professionnelle, de 1 a deux ans, idealement dans un cabinet professionnel comptable, est souhaitable. la maitrise du logiciel synergie serait un plus. si votre profil correspond a ces caracteristiques, merci denvoyer votre cv et lettre de motivation via ce site marocannonces sous lobjet: recrutement agent de support comptable",A discuter,agent comptabilité gestion audit
Chargé d’exploitation transport (h/f),Confidentiel,Transport / Achat / Logistique,Tanger,informatiques : maitrise du pack office et des outils de gestion lies au transport/logistique,minimum 2 ans dans un poste similaire (obligatoire) dans une societe de transport international.,CDI,charger exploitation transport heure informatique maitrise pack offic outil gestion lier transport logistique transport achat logistique
Employé polyvalent,Riad / Maison d'hote,Tourisme / Hôtellerie / Restauration,Marrakech,,,A discuter,employer polyvalent tourisme hôtellerie restauration
Coordinateur pédagogique,Ihb art media,Services aux Entreprises / Formation,Casablanca,,dans la,CDI,coordinateur pédagogique service entreprise formation
صباغ ديال الحيط,Confidentiel,Construction / Btp,Rabat,,,Interim,construction
Infirmier(ère) en intérim,Manpower maroc,Santé / Médical,Casablanca,,"en milieu industriel, afin dassurer la prise en charge de la sante des collaborateurs et de contribuer activement a la prevention des risques professionnels. rattachement hierarchique rattache(e) au medecin du travail.",Interim,infirmier intérim santé médical
Superviseur (expérience minimum 1 an),prestation de service,Ressources Humaines / Recrutement / Intérim,Casablanca,"experience minimum dun an dans un poste similaire bon sens de lorganisation et de la gestion des priorites leadership et esprit dequipe excellentes capacites de communication reactivite et sens de linitiative maitrise des outils informatiques - pour les interesses, merci de nous envoyer votre candidature. candidature. salutations.",", capable dencadrer une equipe et dassurer le bon deroulement des operations.",CDD,superviseur expérience minimum experience minimum poste similaire sens lorganisation gestion priorite leadership esprit dequip excellent capacite communication reactivite sens linitiative maitrise outil informatique interesse envoyer candidature candidature salutation ressource humain recrutement intérim
Chargé(e) des achats spécialité Électrique,Artus,Autre,Casablanca,- experience confirmee en achat de materiel electrique (exigee) - bonne maitrise du courant fort et courant faible - sens de la negociation & organisation,confirmee en achat de materiel electrique (exigee) - bonne maitrise du courant fort et courant faible - sens de la negociation & organisation,CDI,charger achat spécialité électrique experience confirme achat materiel electriqu exigee maitrise courant fort courir faible sens negociation organisation
Chargé de caisse avancé (h/f),prestation de service,Banque / Finance / Assurance,Casablanca,"diplome bac+3 a bac+5 en finance, gestion, commerce ou equivalent experience souhaitee dans un poste similaire maitrise des outils informatiques et logiciels de caisse rigueur, sens de lorganisation et esprit dequipe bon relationnel et sens du service client nous offrons : environnement de travail dynamique opportunites devolution professionnelle remuneration attractive selon profil avantages sociaux candidature : pour les interesses, merci de nous envoyer votre candidature. salutations.","souhaitee dans un poste similaire maitrise des outils informatiques et logiciels de caisse rigueur, sens de lorganisation et esprit dequipe bon relationnel et sens du service client nous offrons : environnement de travail dynamique opportunites devolution professionnelle remuneration attractive selon profil avantages sociaux candidature : pour les interesses, merci de nous envoyer votre candidature. salutations.",CDD,charger caisse avancer heure diplome finance gestion commerc equivalent experience souhaitee poste similaire maitrise outil informatique logiciel caisse rigueur sens lorganisation esprit dequip relationnel sens service client offrir environnement travail dynamique opportunite devolution professionnel remuneration attractif profil avantage social candidatur interesse envoyer candidature salutation banqu finance assuranc
Chargé de caisse hadsoualem,prestation de service,Banque / Finance / Assurance,Had Soualem,,dans le,A discuter,charger caisse hadsoualem banqu financ assuranc
Chargée de clientèle arabophone (f),CL,Commercial / Vente,Casablanca,"energie positive naturelle et attitude motivee excellent relationnel et esprit dequipe personne proactive, serieuse et impliquee ce que nous valorisons avant tout : - la motivation - lenvie dapprendre - une vraie energie dans la communication nous offrons : environnement de travail stimulant",,CDI,charger clientèle arabophone energie positif naturel attitude motivee excellent relationnel esprit dequip proactif serieus impliquee valoriser motivation lenvie dapprendre vraie energie communication offrir environnement travail stimulant commercial vente
Commis de rang / chef de rang / barman,HOTEL RIAD MARRAKECH,Tourisme / Hôtellerie / Restauration,Marrakech,"experience souhaitee dans un poste similaire bonne presentation et sens du service dynamique, serieux(se) et ponctuel(le) capacite a travailler en equipe maitrise du francais (langlais est un plus)","souhaitee dans un poste similaire bonne presentation et sens du service dynamique, serieux(se) et ponctuel(le) capacite a travailler en equipe maitrise du francais (langlais est un plus)",,commettre rang chef rang barman experience souhaitee poste similaire presentation sens service dynamique serieux ponctuel capacite travailler equipe maitrise francai langlai tourisme hôtellerie restauration
Commercial en immobilier,TAGANA,Immobilier,Marrakech,,"minimum et obligatoire dans la commercialisation de biens immobiliers. - excellente maitrise du marche immobilier a marrakech. - tres bon relationnel, force de proposition et rigueur. - maitrise des outils crm et techniques de negociation.",CDI,commercial immobilier immobilier
Assistant administratif (h/f) tÉtouan,LE BERGER,Industrie / Ingénierie / Energie,Tetouan,"bac+3 en gestion, comptabilite ou equivalent. minimum 3 ans d'experience dans un poste similaire. maitrise pack office et outils comptables. organisation rigoureuse, francais/arabe courant, sens du relationnel. conditions : cdi","dans un poste similaire. maitrise pack office et outils comptables. organisation rigoureuse, francais/arabe courant, sens du relationnel. conditions : cdi",CDI,assister administratif heure tétouan gestion comptabilite equivalent minimum experience poste similaire maitrise pack offic outil comptable organisation rigoureux francai arabe courant relationnel condition industrie ingénierie energie
Assistante de direction,Confidentiel,Autre,Marrakech,"bac+2 / bac+3 en assistanat de direction, gestion ou comptabilite experience de 2 ans minimum dans un poste similaire bonnes connaissances en comptabilite excellente maitrise du francais (ecrit et oral) maitrise des outils bureautiques (excel, word) rigueur, sens de lorganisation et discretion bon relationnel et capacite a gerer plusieurs taches - conditions : poste base a marrakech (gueliz)","de 2 ans minimum dans un poste similaire bonnes connaissances en comptabilite excellente maitrise du francais (ecrit et oral) maitrise des outils bureautiques (excel, word) rigueur, sens de lorganisation et discretion bon relationnel et capacite a gerer plusieurs taches - conditions : poste base a marrakech (gueliz)",CDI,assistant direction assistanat direction gestion comptabilit experience minimum poste similaire connaissance comptabilite excellent maitrise francai ecrit oral maitrise outil bureautique excel word rigueur sens lorganisation discretion relationnel capacite gerer tache condition poste base marrakech gueliz
Night auditor,Multinational,Tourisme / Hôtellerie / Restauration,Marrakech,"- bac+2 en hotellerie, gestion ou equivalent - experience en reception ou en audit de nuit souhaitee - bonne maitrise des outils informatiques et logiciels hoteliers - sens de lorganisation, autonomie et rigueur - maitrise du francais et de langlais - capacite a travailler en horaires de nuit","en reception ou en audit de nuit souhaitee - bonne maitrise des outils informatiques et logiciels hoteliers - sens de lorganisation, autonomie et rigueur - maitrise du francais et de langlais - capacite a travailler en horaires de nuit",Interim,night auditor hotellerie gestion equivalent experience reception audit nuit souhaitee maitrise outil informatique logiciel hotelier lorganisation autonomie rigueur maitrise francai langlais capacite travailler horaire nuit tourism hôtellerie restauration
Vendeur détail à,Confidentiel,Grande Distribution,Agadir,,probante dans le,A discuter,vendeur détail grand distribution
